行業別大類,行業別中類,行業別小類,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
H.運輸及倉儲業,52 運輸輔助業,526 航空運輸輔助業,24134330,22219320,24641731,26358167,28334143,30506303,33283167,33590995,30391679,29239405,25660072,25215391
H.運輸及倉儲業,52 運輸輔助業,529 其他運輸輔助業,6479583,5335375,6552369,7084331,8193936,9050437,10026358,7478688,6806952,6539089,5335417,5135912
H.運輸及倉儲業,53 倉儲業, ,46017039,40862547,46644266,48712507,54447125,55884687,58736844,68237752,69165080,65718767,63838296,59657522
H.運輸及倉儲業,54 郵政及快遞業,541 郵政業,1404473,1278757,1588729,1842523,2065917,2318908,3150273,3435906,3214935,3040495,3170524,2747849
H.運輸及倉儲業,54 郵政及快遞業,542 快遞業,3767394,3467321,3764623,4147867,4629336,4798526,5110607,5208646,4917904,4642361,4061531,3720635
I.運輸及倉儲業,55 住宿業,551 短期住宿業,145746986,137181963,150636795,159379838,176072842,188505831,204031029,210342874,194421083,183922041,169356635,156134077
I.運輸及倉儲業,55 住宿業,559 其他住宿業,174942,166144,196634,189975,216272,206363,150080,231530,331374,309288,375248,598636
I.運輸及倉儲業,56 餐飲業,561 餐食業,84886445,81641930,85792866,89060562,105078365,111808103,115518899,125782215,124749825,113236709,99150876,84797871
I.運輸及倉儲業,56 餐飲業,562 外燴及團膳承包業,5326854,4874454,5250491,5761361,6454216,6768408,6924472,6902997,6136716,6037645,5340158,4940816
I.運輸及倉儲業,56 餐飲業,563 飲料業,5092587,4802216,5022590,5289677,6202150,6477288,6758698,6834337,6795849,6176588,5414793,4630117
J.出版、影音製作、傳播及資通訊服務業,58 出版業,581 新聞、雜誌、期刊、書籍及其他出版業,3469460,2932372,3415352,3505541,3859990,3824292,4388286,4591946,4226567,4365340,4576653,4173039
J.出版、影音製作、傳播及資通訊服務業,58 出版業,582 軟體出版業,185868,187854,235418,240881,314713,266898,289777,375304,385240,377086,362788,299341
J.出版、影音製作、傳播及資通訊服務業,59 影片及電視節目業；聲音錄製及音樂發行業,591 影片及電視節目業,7164243,6496787,7261848,7839385,8636310,9125740,9891849,10018793,8986937,8489770,8354768,7973763
J.出版、影音製作、傳播及資通訊服務業,59 影片及電視節目業；聲音錄製及音樂發行業,592 聲音錄製及音樂發行業,141099,122815,134167,166494,185918,189788,216313,238592,221416,192756,163239,141978
