日期,備轉容量(萬瓩),備轉容量率(%)
2019/9/17,597.52,18.13
2019/9/18,604.16,18.63
2019/9/19,689.33,21.88
2019/9/20,634.56,20.74
2019/9/21,561.21,21.21
2019/9/22,542.07,20.98
2019/9/23,661.98,22.10
2019/9/24,661.61,21.98
2019/9/25,567.92,18.49
2019/9/26,565.9,18.16
2019/9/27,624.38,19.98
2019/9/28,485.22,17.23
2019/9/29,431.48,15.45
2019/9/30,765.68,26.86
2019/10/1,453.15,14.20
2019/10/2,407.66,12.24
2019/10/3,380.73,11.30
2019/10/4,442.05,13.13
2019/10/5,456.11,14.06
2019/10/6,378.92,13.52
2019/10/7,370.21,11.26
2019/10/8,435.11,13.21
2019/10/9,470.07,14.53
2019/10/10,440.55,15.84
2019/10/11,448.97,16.52
2019/10/12,474.19,17.59
2019/10/13,543.22,20.60
2019/10/14,509.12,16.48
2019/10/15,508.5,16.66
2019/10/16,398.43,13.14
2019/10/17,458.21,15.18
2019/10/18,481,15.94
2019/10/19,478.76,18.11
2019/10/20,442.01,17.52
2019/10/21,427.37,14.63
2019/10/22,380.3,12.66
2019/10/23,377.89,12.48
2019/10/24,382.9,12.62
2019/10/25,411.98,13.67
2019/10/26,310.15,11.70
2019/10/27,276.21,10.74
2019/10/28,405.24,13.42
2019/10/29,461.62,15.58
2019/10/30,366.57,12.34
2019/10/31,363.87,12.10
2019/11/1,393.06,12.96
2019/11/2,337.82,12.65
2019/11/3,342.04,13.29
2019/11/4,345.53,11.84
2019/11/5,376.87,12.89
2019/11/6,334.34,11.36
2019/11/7,375.18,12.67
2019/11/8,474.02,16.40
2019/11/9,370.94,14.32
2019/11/10,303.29,12.27
2019/11/11,360.7,12.60
2019/11/12,359.19,12.26
2019/11/13,329.98,11.24
2019/11/14,382.26,13.20
2019/11/15,315.06,10.95
2019/11/16,319.97,12.27
2019/11/17,258.97,10.21
2019/11/18,303.7,10.36
2019/11/19,333.75,11.61
2019/11/20,334.66,11.57
2019/11/21,299.58,10.15
2019/11/22,296.92,10.06
2019/11/23,269.44,10.06
2019/11/24,319.01,12.47
2019/11/25,296.85,10.12
2019/11/26,331.15,11.31
2019/11/27,356.51,12.16
2019/11/28,341.83,11.95
2019/11/29,339.1999,11.91
2019/11/30,300.32,11.62
2019/12/1,342.49,13.79
2019/12/2,346.18,12.39
2019/12/3,315,11.19
2019/12/4,305.28,10.72
2019/12/5,302.26,10.53
2019/12/6,341.43,11.95
2019/12/7,290.06,11.23
2019/12/8,295.55,11.94
2019/12/9,320.45,11.36
2019/12/10,314.62,11.06
2019/12/11,320.23,11.28
2019/12/12,299.74,10.55
2019/12/13,315.35,11.12
2019/12/14,303.5,11.82
2019/12/15,281.24,11.38
2019/12/16,303.88,10.53
2019/12/17,318.9,10.91
2019/12/18,325.48,11.19
2019/12/19,310.71,10.73
2019/12/20,314.6,11.01
2019/12/21,281.57,10.69
2019/12/22,274.72,10.94
2019/12/23,332.94,11.57
2019/12/24,328.34,11.32
2019/12/25,360.63,12.45
2019/12/26,326.23,11.27
2019/12/27,320.59,11.50
2019/12/28,315.21,12.43
2019/12/29,289.98,11.60
2019/12/30,314.29,11.23
2019/12/31,310.74,11.36
2020/1/1,279,11.01
2020/1/2,308.04,10.91
2020/1/3,338.31,11.96
2020/1/4,363.62,14.21
2020/1/5,269.47,10.88
2020/1/6,300.93,10.51
2020/1/7,310.39,10.65
2020/1/8,323.54,11.33
2020/1/9,313.13,10.90
2020/1/10,329.82,11.58
2020/1/11,385.1,15.20
2020/1/12,309.08,12.44
2020/1/13,315.68,11.02
2020/1/14,341.22,11.85
2020/1/15,338.64,11.91
2020/1/16,300.52,10.47
2020/1/17,339.93,12.06
2020/1/18,315.94,12.12
2020/1/19,333.45,13.17
2020/1/20,318.31,11.38
2020/1/21,325.9,11.84
2020/1/22,388.67,15.10
2020/1/23,334.43,14.21
2020/1/24,348.29,16.17
2020/1/25,355.15,16.89
2020/1/26,353.06,16.67
2020/1/27,370.4,17.06
2020/1/28,365.31,16.01
2020/1/29,330.37,13.77
2020/1/30,299.15,11.36
2020/1/31,336.15,12.58
2020/2/1,389.07,15.43
2020/2/2,324.73,13.09
2020/2/3,408.83,14.62
2020/2/4,330.16,11.61
2020/2/5,364.26,12.83
2020/2/6,334.69,11.75
2020/2/7,376.72,13.32
2020/2/8,366.02,14.28
2020/2/9,308.44,12.26
2020/2/10,314.55,11.12
2020/2/11,321.86,11.23
2020/2/12,334.79,11.73
2020/2/13,324.62,11.16
2020/2/14,312.34,10.70
2020/2/15,299.59,10.79
2020/2/16,398.49,15.90
2020/2/17,374.36,13.23
2020/2/18,424.92,14.95
2020/2/19,356.36,12.56
2020/2/20,313.15,10.94
2020/2/21,313.79,11.00
2020/2/22,367.46,14.11
2020/2/23,373.96,14.92
2020/2/24,301.05,10.44
2020/2/25,312.42,10.70
2020/2/26,316.67,10.75
2020/2/27,425.33,14.99
2020/2/28,328.62,12.47
2020/2/29,280.63,10.93
2020/3/1,332.04,13.29
2020/3/2,329.54,11.54
2020/3/3,310.61,10.64
2020/3/4,375.82,13.02
2020/3/5,351.78,12.30
2020/3/6,317.86,11.13
2020/3/7,371.19,14.18
2020/3/8,337.85,13.22
2020/3/9,320.87,10.82
2020/3/10,393.066,13.75
2020/3/11,325.48,11.41
2020/3/12,300.17,10.23
2020/3/13,309.81,10.62
2020/3/14,382.57,14.83
2020/3/15,349.23,14.06
2020/3/16,482.01,17.22
2020/3/17,414.36,14.41
2020/3/18,415.31,14.26
2020/3/19,308.55,10.50
2020/3/20,369.99,12.74
2020/3/21,301.99,11.34
2020/3/22,308.6,11.83
